code,name_vi,name_en,district,country,zip_code
30362,13470,13470,17000,2,
30363,10511,10511,17001,2,
30364,11423,11423,17002,2,
30365,13078,13078,17003,2,
30366,13795,13795,17004,2,
30367,11791,11791,17005,2,
30368,12872,12872,17006,2,
30369,11950,11950,17007,2,
30370,12456,12456,17008,2,
30371,11732,11732,17009,2,
30372,12811,12811,17010,2,
30373,10911,10911,17011,2,
30374,12529,12529,17012,2,
30375,10977,10977,17013,2,
30376,13132,13132,17014,2,
30377,12866,12866,17015,2,
30378,12933,12933,17016,2,
30379,13614,13614,17017,2,
30380,12822,12822,17018,2,
30381,11004,11004,17019,2,
30382,12513,12513,17020,2,
30383,14101,14101,17021,2,
30384,10803,10803,17022,2,
30385,12846,12846,17023,2,
30386,10573,10573,17024,2,
30387,12522,12522,17025,2,
30388,13656,13656,17026,2,
30389,14706,14706,17027,2,
30390,12143,12143,17028,2,
30391,11797,11797,17029,2,
30392,12831,12831,17030,2,
30393,13626,13626,17031,2,
30394,13368,13368,17032,2,
30395,12983,12983,17033,2,
30396,12446,12446,17034,2,
30397,11754,11754,17035,2,
30398,11959,11959,17036,2,
30399,12481,12481,17037,2,
30400,13069,13069,17038,2,
30401,11967,11967,17039,2,
30402,14846,14846,17040,2,
30403,13618,13618,17041,2,
30404,14885,14885,17042,2,
30405,13736,13736,17043,2,
30406,12566,12566,17044,2,
30407,14006,14006,17045,2,
30408,13126,13126,17046,2,
30409,12816,12816,17047,2,
30410,12085,12085,17048,2,
30411,12193,12193,17049,2,
30412,12589,12589,17050,2,
30413,13087,13087,17051,2,
30414,13065,13065,17052,2,
30415,12884,12884,17053,2,
30416,10973,10973,17054,2,
30417,11755,11755,17055,2,
30418,12814,12814,17056,2,
30419,10927,10927,17057,2,
30420,14036,14036,17058,2,
30421,13676,13676,17059,2,
30422,13699,13699,17059,2,
30423,14024,14024,17060,2,
30424,10526,10526,17061,2,
30425,12960,12960,17062,2,
30426,11970,11970,17063,2,
30427,12033,12033,17064,2,
30428,13119,13119,17065,2,
30429,12082,12082,17066,2,
30430,12018,12018,17067,2,
30431,13643,13643,17068,2,
30432,11697,11697,17069,2,
30433,13843,13843,17070,2,
30434,11948,11948,17071,2,
30435,12019,12019,17072,2,
30436,13683,13683,17073,2,
30437,12815,12815,17074,2,
30438,12093,12093,17075,2,
30439,13731,13731,17076,2,
30440,10594,10594,17077,2,
30441,13753,13753,17078,2,
30442,13693,13693,17079,2,
30443,12434,12434,17080,2,
30444,12438,12438,17081,2,
30445,14720,14720,17082,2,
30446,13859,13859,17083,2,
30447,13472,13472,17084,2,
30448,11411,11411,17085,2,
30449,11961,11961,17086,2,
30450,12189,12189,17087,2,
30451,11377,11377,17088,2,
30452,12997,12997,17089,2,
30453,14808,14808,17090,2,
30454,13802,13802,17091,2,
30455,13310,13310,17092,2,
30456,13615,13615,17093,2,
30457,13436,13436,17094,2,
30458,13021,13021,17095,2,
30459,13024,13024,17095,2,
30460,12466,12466,17096,2,
30461,14893,14893,17097,2,
30462,14001,14001,17098,2,
30463,14586,14586,17099,2,
30464,10524,10524,17100,2,
30465,12762,12762,17101,2,
30466,13117,13117,17102,2,
30467,12916,12916,17103,2,
30468,13641,13641,17104,2,
30469,14542,14542,17105,2,
30470,12040,12040,17106,2,
30471,13416,13416,17107,2,
30472,12518,12518,17108,2,
30473,14450,14450,17109,2,
30474,13807,13807,17110,2,
30475,14820,14820,17111,2,
30476,14590,14590,17112,2,
30477,12504,12504,17113,2,
30478,12540,12540,17114,2,
30479,11596,11596,17115,2,
30480,13415,13415,17116,2,
30481,12412,12412,17117,2,
30482,13062,13062,17118,2,
30483,10001,10001,17119,2,
30484,10002,10002,17119,2,
30485,10003,10003,17119,2,
30486,10004,10004,17119,2,
30487,10005,10005,17119,2,
30488,10006,10006,17119,2,
30489,10007,10007,17119,2,
30490,10009,10009,17119,2,
30491,10010,10010,17119,2,
30492,10011,10011,17119,2,
30493,10012,10012,17119,2,
30494,10013,10013,17119,2,
30495,10014,10014,17119,2,
30496,10016,10016,17119,2,
30497,10017,10017,17119,2,
30498,10018,10018,17119,2,
30499,10019,10019,17119,2,
30500,10020,10020,17119,2,
30501,10021,10021,17119,2,
30502,10022,10022,17119,2,
30503,10023,10023,17119,2,
30504,10024,10024,17119,2,
30505,10025,10025,17119,2,
30506,10026,10026,17119,2,
30507,10027,10027,17119,2,
30508,10028,10028,17119,2,
30509,10029,10029,17119,2,
30510,10030,10030,17119,2,
30511,10031,10031,17119,2,
30512,10032,10032,17119,2,
30513,10033,10033,17119,2,
30514,10034,10034,17119,2,
30515,10035,10035,17119,2,
30516,10036,10036,17119,2,
30517,10037,10037,17119,2,
30518,10038,10038,17119,2,
30519,10039,10039,17119,2,
30520,10040,10040,17119,2,
30521,10044,10044,17119,2,
30522,10065,10065,17119,2,
30523,10069,10069,17119,2,
30524,10075,10075,17119,2,
30525,10103,10103,17119,2,
30526,10110,10110,17119,2,
30527,10111,10111,17119,2,
30528,10112,10112,17119,2,
30529,10115,10115,17119,2,
30530,10119,10119,17119,2,
30531,10128,10128,17119,2,
30532,10152,10152,17119,2,
30533,10153,10153,17119,2,
30534,10154,10154,17119,2,
30535,10162,10162,17119,2,
30536,10165,10165,17119,2,
30537,10167,10167,17119,2,
30538,10168,10168,17119,2,
30539,10169,10169,17119,2,
30540,10170,10170,17119,2,
30541,10171,10171,17119,2,
30542,10172,10172,17119,2,
30543,10173,10173,17119,2,
30544,10174,10174,17119,2,
30545,10177,10177,17119,2,
30546,10199,10199,17119,2,
30547,10271,10271,17119,2,
30548,10278,10278,17119,2,
