code,name_vi,name_en,province,country,zip_code
264,Huyện Yên Khánh,Yen Khanh,25,1,
265,Huyện Kim Sơn,Kim Son,25,1,
266,Huyện Yên Mô,Yen Mo,25,1,
267,Thành phố Thanh Hóa,Thanh Hoa City,26,1,
268,Thị xã Bỉm Sơn,Bim Son Town,26,1,
269,Thành phố Sầm Sơn,Sam Son City,26,1,
270,Huyện Mường Lát,Muong Lat,26,1,
271,Huyện Quan Hóa,Quan Hoa,26,1,
272,Huyện Bá Thước,Ba Thuoc,26,1,
273,Huyện Quan Sơn,Quan Son,26,1,
274,Huyện Lang Chánh,Lang Chanh,26,1,
275,Huyện Ngọc Lặc,Ngoc Lac,26,1,
276,Huyện Cẩm Thủy,Cam Thuy,26,1,
277,Huyện Thạch Thành,Thach Thanh,26,1,
278,Huyện Hà Trung,Ha Trung,26,1,
279,Huyện Vĩnh Lộc,Vinh Loc,26,1,
280,Huyện Yên Định,Yen Dinh,26,1,
281,Huyện Thọ Xuân,Tho Xuan,26,1,
282,Huyện Thường Xuân,Thuong Xuan,26,1,
283,Huyện Triệu Sơn,Trieu Son,26,1,
284,Huyện Thiệu Hóa,Thieu Hoa,26,1,
285,Huyện Hoằng Hóa,Hoang Hoa,26,1,
286,Huyện Hậu Lộc,Hau Loc,26,1,
287,Huyện Nga Sơn,Nga Son,26,1,
288,Huyện Như Xuân,Nhu Xuan,26,1,
289,Huyện Như Thanh,Nhu Thanh,26,1,
290,Huyện Nông Cống,Nong Cong,26,1,
291,Huyện Đông Sơn,Dong Son,26,1,
292,Huyện Quảng Xương,Quang Xuong,26,1,
293,Thị xã Nghi Sơn,Nghi Son Town,26,1,
294,Thành phố Vinh,Vinh City,27,1,
295,Thị xã Cửa Lò,Cua Lo Town,27,1,
296,Thị xã Thái Hoà,Thai Hoa Town,27,1,
297,Huyện Quế Phong,Que Phong,27,1,
298,Huyện Quỳ Châu,Quy Chau,27,1,
299,Huyện Kỳ Sơn,Ky Son,27,1,
300,Huyện Tương Dương,Tuong Duong,27,1,
301,Huyện Nghĩa Đàn,Nghia Dan,27,1,
302,Huyện Quỳ Hợp,Quy Hop,27,1,
303,Huyện Quỳnh Lưu,Quynh Luu,27,1,
304,Huyện Con Cuông,Con Cuong,27,1,
305,Huyện Tân Kỳ,Tan Ky,27,1,
306,Huyện Anh Sơn,Anh Son,27,1,
307,Huyện Diễn Châu,Dien Chau,27,1,
308,Huyện Yên Thành,Yen Thanh,27,1,
309,Huyện Đô Lương,Do Luong,27,1,
310,Huyện Thanh Chương,Thanh Chuong,27,1,
311,Huyện Nghi Lộc,Nghi Loc,27,1,
312,Huyện Nam Đàn,Nam Dan,27,1,
313,Huyện Hưng Nguyên,Hung Nguyen,27,1,
314,Thị xã Hoàng Mai,Hoang Mai Town,27,1,
315,Thành phố Hà Tĩnh,Ha Tinh City,28,1,
316,Thị xã Hồng Lĩnh,Hong Linh Town,28,1,
317,Huyện Hương Sơn,Huong Son,28,1,
318,Huyện Đức Thọ,Duc Tho,28,1,
319,Huyện Vũ Quang,Vu Quang,28,1,
320,Huyện Nghi Xuân,Nghi Xuan,28,1,
321,Huyện Can Lộc,Can Loc,28,1,
322,Huyện Hương Khê,Huong Khe,28,1,
323,Huyện Thạch Hà,Thach Ha,28,1,
324,Huyện Cẩm Xuyên,Cam Xuyen,28,1,
325,Huyện Kỳ Anh,Ky Anh,28,1,
326,Huyện Lộc Hà,Loc Ha,28,1,
327,Thị xã Kỳ Anh,Ky Anh Town,28,1,
328,Thành Phố Đồng Hới,Dong Hoi City,29,1,
329,Huyện Minh Hóa,Minh Hoa,29,1,
330,Huyện Tuyên Hóa,Tuyen Hoa,29,1,
331,Huyện Quảng Trạch,Quang Trach,29,1,
332,Huyện Bố Trạch,Bo Trach,29,1,
333,Huyện Quảng Ninh,Quang Ninh,29,1,
334,Huyện Lệ Thủy,Le Thuy,29,1,
335,Thị xã Ba Đồn,Ba Don Town,29,1,
336,Thành phố Đông Hà,Dong Ha City,30,1,
337,Thị xã Quảng Trị,Quang Tri Town,30,1,
338,Huyện Vĩnh Linh,Vinh Linh,30,1,
339,Huyện Hướng Hóa,Huong Hoa,30,1,
340,Huyện Gio Linh,Gio Linh,30,1,
341,Huyện Đa Krông,Da Krong,30,1,
342,Huyện Cam Lộ,Cam Lo,30,1,
343,Huyện Triệu Phong,Trieu Phong,30,1,
344,Huyện Hải Lăng,Hai Lang,30,1,
345,Huyện Cồn Cỏ,Con Co,30,1,
346,Thành phố Huế,Hue City,31,1,
347,Huyện Phong Điền,Phong Dien,31,1,
348,Huyện Quảng Điền,Quang Dien,31,1,
349,Huyện Phú Vang,Phu Vang,31,1,
350,Thị xã Hương Thủy,Huong Thuy Town,31,1,
351,Thị xã Hương Trà,Huong Tra Town,31,1,
352,Huyện A Lưới,A Luoi,31,1,
353,Huyện Phú Lộc,Phu Loc,31,1,
354,Huyện Nam Đông,Nam Dong,31,1,
355,Quận Liên Chiểu,Lien Chieu,32,1,
356,Quận Thanh Khê,Thanh Khe,32,1,
357,Quận Hải Châu,Hai Chau,32,1,
358,Quận Sơn Trà,Son Tra,32,1,
359,Quận Ngũ Hành Sơn,Ngu Hanh Son,32,1,
360,Quận Cẩm Lệ,Cam Le,32,1,
361,Huyện Hòa Vang,Hoa Vang,32,1,
362,Huyện Hoàng Sa,Hoang Sa,32,1,
363,Thành phố Tam Kỳ,Tam Ky City,33,1,
364,Thành phố Hội An,Hoi An City,33,1,
365,Huyện Tây Giang,Tay Giang,33,1,
366,Huyện Đông Giang,Dong Giang,33,1,
367,Huyện Đại Lộc,Dai Loc,33,1,
368,Thị xã Điện Bàn,Dien Ban Town,33,1,
369,Huyện Duy Xuyên,Duy Xuyen,33,1,
370,Huyện Quế Sơn,Que Son,33,1,
371,Huyện Nam Giang,Nam Giang,33,1,
372,Huyện Phước Sơn,Phuoc Son,33,1,
373,Huyện Hiệp Đức,Hiep Duc,33,1,
374,Huyện Thăng Bình,Thang Binh,33,1,
375,Huyện Tiên Phước,Tien Phuoc,33,1,
376,Huyện Bắc Trà My,Bac Tra My,33,1,
377,Huyện Nam Trà My,Nam Tra My,33,1,
378,Huyện Núi Thành,Nui Thanh,33,1,
379,Huyện Phú Ninh,Phu Ninh,33,1,
380,Huyện Nông Sơn,Nong Son,33,1,
381,Thành phố Quảng Ngãi,Quang Ngai City,34,1,
382,Huyện Bình Sơn,Binh Son,34,1,
383,Huyện Trà Bồng,Tra Bong,34,1,
384,Huyện Sơn Tịnh,Son Tinh,34,1,
385,Huyện Tư Nghĩa,Tu Nghia,34,1,
386,Huyện Sơn Hà,Son Ha,34,1,
387,Huyện Sơn Tây,Son Tay,34,1,
388,Huyện Minh Long,Minh Long,34,1,
389,Huyện Nghĩa Hành,Nghia Hanh,34,1,
390,Huyện Mộ Đức,Mo Duc,34,1,
391,Thị xã Đức Phổ,Duc Pho Town,34,1,
392,Huyện Ba Tơ,Ba To,34,1,
393,Huyện Lý Sơn,Ly Son,34,1,
394,Thành phố Quy Nhơn,Quy Nhon City,35,1,
395,Huyện An Lão,An Lao,35,1,
396,Thị xã Hoài Nhơn,Hoai Nhon Town,35,1,
397,Huyện Hoài Ân,Hoai An,35,1,
398,Huyện Phù Mỹ,Phu My,35,1,
399,Huyện Vĩnh Thạnh,Vinh Thanh,35,1,
400,Huyện Tây Sơn,Tay Son,35,1,
401,Huyện Phù Cát,Phu Cat,35,1,
402,Thị xã An Nhơn,An Nhon Town,35,1,
403,Huyện Tuy Phước,Tuy Phuoc,35,1,
404,Huyện Vân Canh,Van Canh,35,1,
405,Thành phố Tuy Hoà,Tuy Hoa City,36,1,
406,Thị xã Sông Cầu,Song Cau Town,36,1,
407,Huyện Đồng Xuân,Dong Xuan,36,1,
408,Huyện Tuy An,Tuy An,36,1,
409,Huyện Sơn Hòa,Son Hoa,36,1,
410,Huyện Sông Hinh,Song Hinh,36,1,
411,Huyện Tây Hoà,Tay Hoa,36,1,
412,Huyện Phú Hoà,Phu Hoa,36,1,
413,Thị xã Đông Hòa,Dong Hoa Town,36,1,
414,Thành phố Nha Trang,Nha Trang City,37,1,
415,Thành phố Cam Ranh,Cam Ranh City,37,1,
416,Huyện Cam Lâm,Cam Lam,37,1,
417,Huyện Vạn Ninh,Van Ninh,37,1,
418,Thị xã Ninh Hòa,Ninh Hoa Town,37,1,
419,Huyện Khánh Vĩnh,Khanh Vinh,37,1,
420,Huyện Diên Khánh,Dien Khanh,37,1,
421,Huyện Khánh Sơn,Khanh Son,37,1,
422,Huyện Trường Sa,Truong Sa,37,1,
423,Thành phố Phan Rang-Tháp Chàm,Phan Rang-Thap Cham City,38,1,
424,Huyện Bác Ái,Bac Ai,38,1,
425,Huyện Ninh Sơn,Ninh Son,38,1,
426,Huyện Ninh Hải,Ninh Hai,38,1,
427,Huyện Ninh Phước,Ninh Phuoc,38,1,
428,Huyện Thuận Bắc,Thuan Bac,38,1,
429,Huyện Thuận Nam,Thuan Nam,38,1,
716,Sunflower,Sunflower,64,2,
430,Thành phố Phan Thiết,Phan Thiet City,39,1,
431,Thị xã La Gi,La Gi Town,39,1,
432,Huyện Tuy Phong,Tuy Phong,39,1,
433,Huyện Bắc Bình,Bac Binh,39,1,
434,Huyện Hàm Thuận Bắc,Ham Thuan Bac,39,1,
435,Huyện Hàm Thuận Nam,Ham Thuan Nam,39,1,
436,Huyện Tánh Linh,Tanh Linh,39,1,
437,Huyện Đức Linh,Duc Linh,39,1,
438,Huyện Hàm Tân,Ham Tan,39,1,
439,Huyện Phú Quí,Phu Qui,39,1,
440,Thành phố Kon Tum,Kon Tum City,40,1,
441,Huyện Đắk Glei,Dak Glei,40,1,
442,Huyện Ngọc Hồi,Ngoc Hoi,40,1,
443,Huyện Đắk Tô,Dak To,40,1,
444,Huyện Kon Plông,Kon Plong,40,1,
445,Huyện Kon Rẫy,Kon Ray,40,1,
446,Huyện Đắk Hà,Dak Ha,40,1,
447,Huyện Sa Thầy,Sa Thay,40,1,
448,Huyện Tu Mơ Rông,Tu Mo Rong,40,1,
449,Huyện Ia H' Drai,Ia H' Drai,40,1,
450,Thành phố Pleiku,Pleiku City,41,1,
451,Thị xã An Khê,An Khe Town,41,1,
452,Thị xã Ayun Pa,Ayun Pa Town,41,1,
453,Huyện KBang,KBang,41,1,
454,Huyện Đăk Đoa,Dak Doa,41,1,
455,Huyện Chư Păh,Chu Pah,41,1,
456,Huyện Ia Grai,Ia Grai,41,1,
457,Huyện Mang Yang,Mang Yang,41,1,
458,Huyện Kông Chro,Kong Chro,41,1,
459,Huyện Đức Cơ,Duc Co,41,1,
460,Huyện Chư Prông,Chu Prong,41,1,
461,Huyện Chư Sê,Chu Se,41,1,
462,Huyện Đăk Pơ,Dak Po,41,1,
463,Huyện Ia Pa,Ia Pa,41,1,
464,Huyện Krông Pa,Krong Pa,41,1,
465,Huyện Phú Thiện,Phu Thien,41,1,
466,Huyện Chư Pưh,Chu Puh,41,1,
467,Thành phố Buôn Ma Thuột,Buon Ma Thuot City,42,1,
468,Thị Xã Buôn Hồ,Buon Ho Town,42,1,
469,Huyện Ea H'leo,Ea H'leo,42,1,
470,Huyện Ea Súp,Ea Sup,42,1,
471,Huyện Buôn Đôn,Buon Don,42,1,
472,Huyện Cư M'gar,Cu M'gar,42,1,
473,Huyện Krông Búk,Krong Buk,42,1,
474,Huyện Krông Năng,Krong Nang,42,1,
475,Huyện Ea Kar,Ea Kar,42,1,
476,Huyện M'Đrắk,M'Drak,42,1,
477,Huyện Krông Bông,Krong Bong,42,1,
478,Huyện Krông Pắc,Krong Pac,42,1,
479,Huyện Krông A Na,Krong A Na,42,1,
480,Huyện Lắk,Lak,42,1,
481,Huyện Cư Kuin,Cu Kuin,42,1,
482,Thành phố Gia Nghĩa,Gia Nghia City,43,1,
483,Huyện Đăk Glong,Dak Glong,43,1,
484,Huyện Cư Jút,Cu Jut,43,1,
485,Huyện Đắk Mil,Dak Mil,43,1,
486,Huyện Krông Nô,Krong No,43,1,
487,Huyện Đắk Song,Dak Song,43,1,
488,Huyện Đắk R'Lấp,Dak R'Lap,43,1,
489,Huyện Tuy Đức,Tuy Duc,43,1,
490,Thành phố Đà Lạt,Da Lat City,44,1,
491,Thành phố Bảo Lộc,Bao Loc City,44,1,
492,Huyện Đam Rông,Dam Rong,44,1,
493,Huyện Lạc Dương,Lac Duong,44,1,
494,Huyện Lâm Hà,Lam Ha,44,1,
495,Huyện Đơn Dương,Don Duong,44,1,
496,Huyện Đức Trọng,Duc Trong,44,1,
497,Huyện Di Linh,Di Linh,44,1,
498,Huyện Bảo Lâm,Bao Lam,44,1,
499,Huyện Đạ Huoai,Da Huoai,44,1,
500,Huyện Đạ Tẻh,Da Teh,44,1,
501,Huyện Cát Tiên,Cat Tien,44,1,
502,Thị xã Phước Long,Phuoc Long Town,45,1,
503,Thành phố Đồng Xoài,Dong Xoai City,45,1,
504,Thị xã Bình Long,Binh Long Town,45,1,
505,Huyện Bù Gia Mập,Bu Gia Map,45,1,
506,Huyện Lộc Ninh,Loc Ninh,45,1,
507,Huyện Bù Đốp,Bu Dop,45,1,
508,Huyện Hớn Quản,Hon Quan,45,1,
509,Huyện Đồng Phú,Dong Phu,45,1,
510,Huyện Bù Đăng,Bu Dang,45,1,
511,Thị xã Chơn Thành,Chon Thanh Town,45,1,
512,Huyện Phú Riềng,Phu Rieng,45,1,
513,Thành phố Tây Ninh,Tay Ninh City,46,1,
