code,name_vi,name_en,country,province,zip_code
264,Huyện Yên Khánh,Yen Khanh,1,25,
265,Huyện Kim Sơn,Kim Son,1,25,
266,Huyện Yên Mô,Yen Mo,1,25,
267,Thành phố Thanh Hóa,Thanh Hoa City,1,26,
268,Thị xã Bỉm Sơn,Bim Son Town,1,26,
269,Thành phố Sầm Sơn,Sam Son City,1,26,
270,Huyện Mường Lát,Muong Lat,1,26,
271,Huyện Quan Hóa,Quan Hoa,1,26,
272,Huyện Bá Thước,Ba Thuoc,1,26,
273,Huyện Quan Sơn,Quan Son,1,26,
274,Huyện Lang Chánh,Lang Chanh,1,26,
275,Huyện Ngọc Lặc,Ngoc Lac,1,26,
276,Huyện Cẩm Thủy,Cam Thuy,1,26,
277,Huyện Thạch Thành,Thach Thanh,1,26,
278,Huyện Hà Trung,Ha Trung,1,26,
279,Huyện Vĩnh Lộc,Vinh Loc,1,26,
280,Huyện Yên Định,Yen Dinh,1,26,
281,Huyện Thọ Xuân,Tho Xuan,1,26,
282,Huyện Thường Xuân,Thuong Xuan,1,26,
283,Huyện Triệu Sơn,Trieu Son,1,26,
284,Huyện Thiệu Hóa,Thieu Hoa,1,26,
285,Huyện Hoằng Hóa,Hoang Hoa,1,26,
286,Huyện Hậu Lộc,Hau Loc,1,26,
287,Huyện Nga Sơn,Nga Son,1,26,
288,Huyện Như Xuân,Nhu Xuan,1,26,
289,Huyện Như Thanh,Nhu Thanh,1,26,
290,Huyện Nông Cống,Nong Cong,1,26,
291,Huyện Đông Sơn,Dong Son,1,26,
292,Huyện Quảng Xương,Quang Xuong,1,26,
293,Thị xã Nghi Sơn,Nghi Son Town,1,26,
294,Thành phố Vinh,Vinh City,1,27,
295,Thị xã Cửa Lò,Cua Lo Town,1,27,
296,Thị xã Thái Hoà,Thai Hoa Town,1,27,
297,Huyện Quế Phong,Que Phong,1,27,
298,Huyện Quỳ Châu,Quy Chau,1,27,
299,Huyện Kỳ Sơn,Ky Son,1,27,
300,Huyện Tương Dương,Tuong Duong,1,27,
301,Huyện Nghĩa Đàn,Nghia Dan,1,27,
302,Huyện Quỳ Hợp,Quy Hop,1,27,
303,Huyện Quỳnh Lưu,Quynh Luu,1,27,
304,Huyện Con Cuông,Con Cuong,1,27,
305,Huyện Tân Kỳ,Tan Ky,1,27,
306,Huyện Anh Sơn,Anh Son,1,27,
307,Huyện Diễn Châu,Dien Chau,1,27,
308,Huyện Yên Thành,Yen Thanh,1,27,
309,Huyện Đô Lương,Do Luong,1,27,
310,Huyện Thanh Chương,Thanh Chuong,1,27,
311,Huyện Nghi Lộc,Nghi Loc,1,27,
312,Huyện Nam Đàn,Nam Dan,1,27,
313,Huyện Hưng Nguyên,Hung Nguyen,1,27,
314,Thị xã Hoàng Mai,Hoang Mai Town,1,27,
315,Thành phố Hà Tĩnh,Ha Tinh City,1,28,
316,Thị xã Hồng Lĩnh,Hong Linh Town,1,28,
317,Huyện Hương Sơn,Huong Son,1,28,
318,Huyện Đức Thọ,Duc Tho,1,28,
319,Huyện Vũ Quang,Vu Quang,1,28,
320,Huyện Nghi Xuân,Nghi Xuan,1,28,
321,Huyện Can Lộc,Can Loc,1,28,
322,Huyện Hương Khê,Huong Khe,1,28,
323,Huyện Thạch Hà,Thach Ha,1,28,
324,Huyện Cẩm Xuyên,Cam Xuyen,1,28,
325,Huyện Kỳ Anh,Ky Anh,1,28,
326,Huyện Lộc Hà,Loc Ha,1,28,
327,Thị xã Kỳ Anh,Ky Anh Town,1,28,
328,Thành Phố Đồng Hới,Dong Hoi City,1,29,
